metric,prefix,N,MAD_anchor,MAD_arecho,MAD_anchor_CI_low,MAD_anchor_CI_high,MAD_arecho_CI_low,MAD_arecho_CI_high,mean_anchor,mean_arecho,std_anchor,std_arecho,anchor_over_rate,anchor_under_rate,arecho_over_rate,arecho_under_rate,anchor_bias,arecho_bias,anchor_bias_CI_low,anchor_bias_CI_high,arecho_bias_CI_low,arecho_bias_CI_high,skew_anchor,skew_arecho,p_value,cohen_d
utmos,6,74,0.18431097177836525,0.18543199193499613,0.1375870611721201,0.23249505492141362,0.1424179380479178,0.22988446718531663,-0.09296777449458475,-0.11273597694046253,0.2670958259600811,0.24970255854198695,0.3108108108108108,0.6891891891891891,0.22972972972972974,0.7702702702702703,-0.09296777449458475,-0.11273597694046253,-0.15428928363327088,-0.03641127442515896,-0.1712270015412951,-0.05357757194492739,-0.37837837837837834,-0.5405405405405406,0.4978732164872437,0.0791928845386558
utmos,8,49,0.17699360164518513,0.16620525640792966,0.1255135817868661,0.23245065000328638,0.12107056529343542,0.2182531183201575,-0.080193676085621,-0.1294026718541408,0.2546078629785403,0.21526969974031987,0.3469387755102041,0.6530612244897959,0.24489795918367346,0.7551020408163265,-0.080193676085621,-0.1294026718541408,-0.14826259164280234,-0.012452729297323249,-0.18994987093210794,-0.07090267247339693,-0.3061224489795918,-0.510204081632653,0.15240427875598145,0.20774008296846225
utmosv2,2,94,0.38684000340137964,0.5151919123612642,0.33111555340605225,0.4457065811595131,0.442956015685947,0.5906532628142347,-0.2726394913527208,-0.4601467031943821,0.40154868520262077,0.4316194610900949,0.2978723404255319,0.7021276595744681,0.11702127659574468,0.8829787234042553,-0.2726394913527208,-0.4601467031943821,-0.3561750425733094,-0.19561883283570042,-0.5548885445641314,-0.37584240250563844,-0.4042553191489362,-0.7659574468085106,1.7747213391294518e-07,0.582308294379304
utmosv2,4,89,0.2921649765427171,0.4066320871700045,0.24765274861555417,0.34578521434204074,0.3469593606398593,0.46271261795317714,-0.09446135100773537,-0.29979732455579416,0.366844463825005,0.39378077617487955,0.4157303370786517,0.5842696629213483,0.16853932584269662,0.8314606741573034,-0.09446135100773537,-0.29979732455579416,-0.17557052697955589,-0.025440329864569282,-0.3739714831937377,-0.22304634596251618,-0.1685393258426966,-0.6629213483146068,2.9614336941032562e-08,0.6449770737452838
utmosv2,6,74,0.3031589708925523,0.31980601472548204,0.2537821010119698,0.358926957172944,0.2683820520305004,0.379236471842027,-0.040673640487792484,-0.16662033815978078,0.3820867604515386,0.36188207439638354,0.47297297297297297,0.527027027027027,0.2972972972972973,0.7027027027027027,-0.040673640487792484,-0.16662033815978078,-0.13234693851676535,0.040487465034585314,-0.2575892582263049,-0.0880086962131624,-0.054054054054054,-0.40540540540540543,0.00012625621221262244,0.47080006854780393
utmosv2,8,49,0.3200923926184856,0.3038699171795395,0.2511145298373122,0.39279883981801367,0.23917133617416747,0.3727623433644591,-0.04473791264108066,-0.15463894539881456,0.4065716048915627,0.35261768265814947,0.5102040816326531,0.4897959183673469,0.3673469387755102,0.6326530612244898,-0.04473791264108066,-0.15463894539881456,-0.16437287410974738,0.06648528955020098,-0.2546519428877526,-0.05337253560004558,0.020408163265306145,-0.2653061224489796,0.0050296401898745,0.42006424162805445
plcmos,2,94,0.596770318923705,0.6599277293346971,0.506648580094647,0.688558233546735,0.5365627561455792,0.7865729897181671,0.24589127040893344,-0.2191665916669819,0.7154575998989672,0.8681502043976348,0.5851063829787234,0.4148936170212766,0.35106382978723405,0.648936170212766,0.24589127040893344,-0.2191665916669819,0.0962595158637379,0.39506343254289333,-0.400187746183053,-0.03900257588975219,0.17021276595744683,-0.2978723404255319,3.1460321314880425e-11,0.7771046610899999
plcmos,4,89,0.5248042961443101,0.47442868336722055,0.44594922656259517,0.61331082481804,0.3719541140423792,0.5789522092639094,0.3034172027454571,-0.12346258137291116,0.6059453333205074,0.6708419432587287,0.6966292134831461,0.30337078651685395,0.4157303370786517,0.5842696629213483,0.3034172027454571,-0.12346258137291116,0.18692024777740404,0.42463481503202455,-0.2652260069549823,0.010076701730310975,0.39325842696629215,-0.1685393258426966,4.461245250819634e-12,0.848857939784064
plcmos,6,74,0.5380532317825084,0.4605368404885035,0.4488214423914795,0.6334855226107311,0.36827570661919673,0.5586732411445504,0.2835540035305873,-0.07780658712353088,0.6229391592308471,0.6183210274259017,0.6756756756756757,0.32432432432432434,0.3918918918918919,0.6081081081081081,0.2835540035305873,-0.07780658712353088,0.13582644284596382,0.4190370257854021,-0.21170412207735378,0.056511102730075584,0.3513513513513513,-0.21621621621621623,6.076607620900062e-08,0.7013694561573254
plcmos,8,49,0.5084459077998288,0.49356501105183237,0.4094407007548371,0.6168077299331759,0.35415353815770445,0.6473196737437097,0.19541105786148377,-0.14022327570811904,0.6018642182398497,0.7017262114820373,0.5918367346938775,0.40816326530612246,0.40816326530612246,0.5918367346938775,0.19541105786148377,-0.14022327570811904,0.01963091868820192,0.3635049862824895,-0.3455778801023506,0.04394855838792438,0.18367346938775508,-0.18367346938775508,0.0003060266035291785,0.5560301131477379
